lambdaStandard,lambdaSpecial,invmu,B,bStandard,bspecial,Sim Blk Prob Stand,Theo Blk Prob Stand,Sim Blk Prob Spe,Theo Blk Prob Spe,Sim Avg Link Load Spe,Theo Avg Link Load Spe,Theo Avg Link Load Stan
1,1,2,16,2,4,1,0.0008594757198109154,1,0.09523809523809523,0,0.4523809523809524,0.24978513107004727
1,1,2,24,2,4,1,0.0000011572684414342608,1,0.012084592145015107,0,0.3293051359516616,0.1666664737885931
1,1,2,32,2,4,0.8298086606243706,4.239077661329841e-10,0.4504296100462657,0.0008594757198109154,15.893195054272928,0.24978513107004727,0.12499999994701154
1,1,4,16,2,4,1,0.0304200582258927,1,0.31067961165048547,0,0.6893203883495146,0.4847899708870536
1,1,4,24,2,4,1,0.0006416879652056608,1,0.11716247139588101,0,0.5885583524027459,0.33311943734493143
1,1,4,32,2,4,0.9279220779220779,0.000003759783449909279,0.6407185628742516,0.0304200582258927,19.09933019965548,0.4847899708870536,0.24999906005413752
1,1,6,16,2,4,1,0.12187578366630444,1,0.46956521739130436,0,0.7956521739130434,0.6585931622502716
1,1,6,24,2,4,1,0.011364802629442217,1,0.2649223221586263,0,0.7350776778413736,0.4943175986852789
1,1,6,32,2,4,0.9539451405350491,0.00033427929370972716,0.7379126375458486,0.12187578366630444,20.691852843161676,0.6585931622502716,0.37487464526485886
1,1,8,16,2,4,1,0.23557026112368193,1,0.5746352413019079,0,0.8507295173961841,0.764429738876318
1,1,8,24,2,4,1,0.051406387712357934,1,0.38975188524395177,0,0.8136641530080642,0.6323957415250947
1,1,8,32,2,4,0.9788684389911384,0.004529831716282544,0.7977188862797719,0.23557026112368193,21.78938893800958,0.764429738876318,0.49773508414185874
1,1,10,16,2,4,1,0.3383184328873665,1,0.6466632177961718,0,0.8833419555095707,0.827101958890792
1,1,10,24,2,4,1,0.11973918844482513,1,0.48451490367843714,0,0.8591418272026048,0.7335506762959789
1,1,10,32,2,4,0.9857868020304569,0.022301872040363657,0.8222442899702085,0.3383184328873665,22.372533307041977,0.827101958890792,0.6110613299747727
1,1.5,2,16,2,4,1,0.0008594757198109154,1,0.20610687022900764,0,0.5954198473282443,0.24978513107004727
1,1.5,2,24,2,4,1,0.0000011572684414342608,1,0.05215711526078557,0,0.47392144236960715,0.1666664737885931
1,1.5,2,32,2,4,0.8811282740094023,4.239077661329841e-10,0.5687246507435781,0.008132439397150859,17.700738304911063,0.37195033522606846,0.12499999994701154
1,1.5,4,16,2,4,1,0.0304200582258927,1,0.46956521739130436,0,0.7956521739130434,0.4847899708870536
1,1.5,4,24,2,4,1,0.0006416879652056608,1,0.2649223221586263,0,0.7350776778413736,0.33311943734493143
1,1.5,4,32,2,4,0.9647139431312093,0.000003759783449909279,0.7208945406709055,0.12187578366630444,20.93212936616395,0.6585931622502716,0.24999906005413752
1,1.5,6,16,2,4,1,0.12187578366630444,1,0.6138085882683132,0,0.8689306763962953,0.6585931622502716
1,1.5,6,24,2,4,1,0.011364802629442217,1,0.4405162445447424,0,0.8392256331828862,0.4943175986852789
1,1.5,6,32,2,4,0.9744015957446809,0.00033427929370972716,0.8056925145674585,0.2891580971109576,21.956441095670087,0.7996971407501728,0.37487464526485886
1,1.5,8,16,2,4,1,0.23557026112368193,1,0.698464025869038,0,0.904607922392886,0.764429738876318
1,1.5,8,24,2,4,1,0.051406387712357934,1,0.5560889270294189,0,0.8878221459411623,0.6323957415250947
1,1.5,8,32,2,4,0.9861111111111112,0.004529831716282544,0.8398744113029827,0.42265511497526337,22.629629949456536,0.866017327537105,0.49773508414185874
1,1.5,10,16,2,4,1,0.3383184328873665,1,0.7532473329464804,0,0.9253225014506986,0.827101958890792
1,1.5,10,24,2,4,1,0.11973918844482513,1,0.6341108419488903,0,0.9147228951277742,0.7335506762959789
1,1.5,10,32,2,4,0.9947385728378823,0.022301872040363657,0.8783813995081601,0.5192555704153473,23.184882574714866,0.9013958054712238,0.6110613299747727
1,2,2,16,2,4,1,0.0008594757198109154,1,0.31067961165048547,0,0.6893203883495146,0.24978513107004727
1,2,2,24,2,4,1,0.0000011572684414342608,1,0.11716247139588101,0,0.5885583524027459,0.1666664737885931
1,2,2,32,2,4,0.929299572509043,4.239077661329841e-10,0.6466401853690831,0.0304200582258927,19.30972314974757,0.4847899708870536,0.12499999994701154
1,2,4,16,2,4,1,0.0304200582258927,1,0.5746352413019079,0,0.8507295173961841,0.4847899708870536
1,2,4,24,2,4,1,0.0006416879652056608,1,0.38975188524395177,0,0.8136641530080642,0.33311943734493143
1,2,4,32,2,4,0.9766469153014988,0.000003759783449909279,0.7929759704251387,0.23557026112368193,21.88324440684861,0.764429738876318,0.24999906005413752
1,2,6,16,2,4,1,0.12187578366630444,1,0.698464025869038,0,0.904607922392886,0.6585931622502716
1,2,6,24,2,4,1,0.011364802629442217,1,0.5560889270294189,0,0.8878221459411623,0.4943175986852789
1,2,6,32,2,4,0.9882154882154882,0.00033427929370972716,0.849324439883701,0.42265511497526337,22.796318262447056,0.866017327537105,0.37487464526485886
1,2,8,16,2,4,1,0.23557026112368193,1,0.7674004683840749,0,0.9303981264637002,0.764429738876318
1,2,8,24,2,4,1,0.051406387712357934,1,0.6545757364457709,0,0.9211313694779443,0.6323957415250947
1,2,8,32,2,4,0.9916219839142091,0.004529831716282544,0.883841770030171,0.5452009988062894,23.270363861916906,0.9095980023874213,0.49773508414185874
1,2,10,16,2,4,1,0.3383184328873665,1,0.810931354660828,0,0.9453432266958602,0.827101958890792
1,2,10,24,2,4,1,0.11973918844482513,1,0.7181399457265736,0,0.9395335142447546,0.7335506762959789
1,2,10,32,2,4,0.9936048468529115,0.022301872040363657,0.9064965586704717,0.6269796588832524,23.596630082608023,0.9325508527918691,0.6110613299747727
1,2.5,2,16,2,4,1,0.0008594757198109154,1,0.39834289356277885,0,0.7520713830465265,0.24978513107004727
1,2.5,2,24,2,4,1,0.0000011572684414342608,1,0.19184725888636503,0,0.6734606175946958,0.1666664737885931
1,2.5,2,32,2,4,0.9483892176199868,4.239077661329841e-10,0.6934639645685143,0.07004785220956704,20.275715652557807,0.5812200923690206,0.12499999994701154
1,2.5,4,16,2,4,1,0.0304200582258927,1,0.6466632177961718,0,0.8833419555095707,0.4847899708870536
1,2.5,4,24,2,4,1,0.0006416879652056608,1,0.48451490367843714,0,0.8591418272026048,0.33311943734493143
1,2.5,4,32,2,4,0.9848634419216847,0.000003759783449909279,0.8303283100107642,0.3383184328873665,22.560728384654134,0.827101958890792,0.24999906005413752
1,2.5,6,16,2,4,1,0.12187578366630444,1,0.7532473329464804,0,0.9253225014506986,0.6585931622502716
1,2.5,6,24,2,4,1,0.011364802629442217,1,0.6341108419488903,0,0.9147228951277742,0.4943175986852789
1,2.5,6,32,2,4,0.99079754601227,0.00033427929370972716,0.8760822510822511,0.5192555704153473,23.150624568055708,0.9013958054712238,0.37487464526485886
1,2.5,8,16,2,4,1,0.23557026112368193,1,0.810931354660828,0,0.9453432266958602,0.764429738876318
1,2.5,8,24,2,4,1,0.051406387712357934,1,0.7181399457265736,0,0.9395335142447546,0.6323957415250947
1,2.5,8,32,2,4,0.9946109801279892,0.004529831716282544,0.9059544425203143,0.6269796588832524,23.6012044670094,0.9325508527918691,0.49773508414185874
1,2.5,10,16,2,4,1,0.3383184328873665,1,0.84688530490039,0,0.9569668443725623,0.827101958890792
1,2.5,10,24,2,4,1,0.11973918844482513,1,0.7712013208249773,0,0.9533278298959277,0.7335506762959789
1,2.5,10,32,2,4,0.9961026307242611,0.022301872040363657,0.9249899719213799,0.6962904004123789,23.926612711821324,0.9490924987113162,0.6110613299747727
1,3,2,16,2,4,1,0.0008594757198109154,1,0.46956521739130436,0,0.7956521739130434,0.24978513107004727
1,3,2,24,2,4,1,0.0000011572684414342608,1,0.2649223221586263,0,0.7350776778413736,0.1666664737885931
1,3,2,32,2,4,0.9606722689075631,4.239077661329841e-10,0.7260689036022893,0.12187578366630444,20.933487983272713,0.6585931622502716,0.12499999994701154
1,3,4,16,2,4,1,0.0304200582258927,1,0.698464025869038,0,0.904607922392886,0.4847899708870536
1,3,4,24,2,4,1,0.0006416879652056608,1,0.5560889270294189,0,0.8878221459411623,0.33311943734493143
1,3,4,32,2,4,0.9928432010409889,0.000003759783449909279,0.8599161703066402,0.42265511497526337,23.023360553220904,0.866017327537105,0.24999906005413752
1,3,6,16,2,4,1,0.12187578366630444,1,0.7913877329473493,0,0.9387552017369278,0.6585931622502716
1,3,6,24,2,4,1,0.011364802629442217,1,0.6894965305651808,0,0.931510408304458,0.4943175986852789
1,3,6,32,2,4,0.991930060524546,0.00033427929370972716,0.897196261682243,0.589928948437742,23.441519492287345,0.9226598660150807,0.37487464526485886
1,3,8,16,2,4,1,0.23557026112368193,1,0.8408247673499178,0,0.9550513959004927,0.764429738876318
1,3,8,24,2,4,1,0.051406387712357934,1,0.762228150836978,0,0.9510873966520876,0.6323957415250947
1,3,8,32,2,4,0.9974059662775616,0.004529831716282544,0.9185235201440468,0.6845173449516601,23.76825429728762,0.9464479651450198,0.49773508414185874
1,3,10,16,2,4,1,0.3383184328873665,1,0.8713950065838734,0,0.9645374506209496,0.827101958890792
1,3,10,24,2,4,1,0.11973918844482513,1,0.807589506839984,0,0.96205246580008,0.7335506762959789
1,3,10,32,2,4,0.9955842391304348,0.022301872040363657,0.932689066187212,0.7442062556845108,23.98341257213724,0.9592265411830847,0.6110613299747727
2,1,2,16,2,4,1,0.0304200582258927,1,0.09523809523809523,0,0.4523809523809524,0.4847899708870536
2,1,2,24,2,4,1,0.0006416879652056608,1,0.012084592145015107,0,0.3293051359516616,0.33311943734493143
2,1,2,32,2,4,0.8611666666666666,0.000003759783449909279,0.48404080289568935,0.0008594757198109154,16.46578868907985,0.24978513107004727,0.24999906005413752
2,1,4,16,2,4,1,0.23557026112368193,1,0.31067961165048547,0,0.6893203883495146,0.764429738876318
2,1,4,24,2,4,1,0.051406387712357934,1,0.11716247139588101,0,0.5885583524027459,0.6323957415250947
2,1,4,32,2,4,0.9482613808163951,0.004529831716282544,0.6617200674536257,0.0304200582258927,19.53745260673672,0.4847899708870536,0.49773508414185874
2,1,6,16,2,4,1,0.42265511497526337,1,0.46956521739130436,0,0.7956521739130434,0.866017327537105
2,1,6,24,2,4,1,0.19856738890547534,1,0.2649223221586263,0,0.7350776778413736,0.8014326110945246
2,1,6,32,2,4,0.9727718586166074,0.060412592462564536,0.751232336510023,0.12187578366630444,21.116126000602943,0.6585931622502716,0.7046905556530767
2,1,8,16,2,4,1,0.5452009988062894,1,0.5746352413019079,0,0.8507295173961841,0.9095980023874213
2,1,8,24,2,4,1,0.3424210036433723,1,0.38975188524395177,0,0.8136641530080642,0.8767719951421703
2,1,8,32,2,4,0.9829613222013972,0.17530763101638708,0.7894553072625698,0.23557026112368193,21.53962403503104,0.764429738876318,0.8246923689836129
2,1,10,16,2,4,1,0.6269796588832524,1,0.6466632177961718,0,0.8833419555095707,0.9325508527918691
2,1,10,24,2,4,1,0.45178853931469576,1,0.48451490367843714,0,0.8591418272026048,0.9136857678088405
2,1,10,32,2,4,0.989281527382348,0.29203347319926587,0.8338826631509558,0.3383184328873665,22.373044582814362,0.827101958890792,0.8849581585009176
2,1.5,2,16,2,4,1,0.0304200582258927,1,0.20610687022900764,0,0.5954198473282443,0.4847899708870536
2,1.5,2,24,2,4,1,0.0006416879652056608,1,0.05215711526078557,0,0.47392144236960715,0.33311943734493143
2,1.5,2,32,2,4,0.8905010966762275,0.000003759783449909279,0.5683325961963733,0.008132439397150859,17.749988958457607,0.37195033522606846,0.24999906005413752
