lambda,queueSize,Loss Probability,Average Delay,Transmitted bandwidth,Wk
150,64,0.02274277916761428,0.010260325898527916,115690,0.011785983421250942
150,96,0,0.01070466246684086,120092.66666666667,0.011785983421250942
150,128,0.022846698652044778,0.010032660035380517,112823.2,0.011785983421250942
150,10000,0.0013338312970175533,0.010428701150444043,117488.712,0.011785983421250942
300,64,0.06743088334457181,0.04343270740904585,231689.06666666668,0.10155844155844157
300,96,0.39774610540271793,0.043891686235744375,235541.46666666667,0.10155844155844157
300,128,0.18741042883915776,0.05597736907274054,238975.33333333334,0.10155844155844157
300,10000,0.002001654701219675,0.051866138102982184,234715.856,0.10155844155844157
450,64,28.93235533822331,0.19805575389519486,249887.86666666667,-0.01534838076545633
450,96,28.9551140544518,0.2944798396372206,249926.53333333333,-0.01534838076545633
450,128,29.6586375055416,0.39340578900462037,249686.4,-0.01534838076545633
450,10000,29.16786844218831,27.94961621487696,249994.216,-0.01534838076545633
