lambda,queueSize,Loss Probability,Average Delay,Transmitted bandwidth,Wk
150,64,0.01101,0.00673,117924.53333,0.01
150,96,0.02255,0.00675,114169.66667,0.01
150,128,0,0.00674,115667.4,0.01
150,10000,0.00133,0.00678,117166.072,0.01
300,64,0.04449,0.01408,232950.93333,0.04
300,96,0.09951,0.01362,237435.86667,0.04
300,128,0.09956,0.01463,236368,0.04
300,10000,0.00468,0.014,233576.692,0.04
450,64,22.3342,0.18101,272711.26667,-0.02
450,96,21.87301,0.26995,273241,-0.02
450,128,21.2317,0.35386,269315.93333,-0.02
450,10000,22.3274,24.90107,273435.2,-0.02
